"Statistic Label","Year","Type of Crop","UNIT","VALUE"
"Crop Production","2008","Total wheat, oats and barley","000 Tonnes","2461.3"
"Crop Production","2008","Total wheat","000 Tonnes","992.8"
"Crop Production","2008","Winter wheat","000 Tonnes","839.9"
"Crop Production","2008","Spring wheat","000 Tonnes","153"
"Crop Production","2008","Total oats","000 Tonnes","174.3"
"Crop Production","2008","Winter oats","000 Tonnes","147.9"
"Crop Production","2008","Spring oats","000 Tonnes","26.4"
"Crop Production","2008","Total barley","000 Tonnes","1294.1"
"Crop Production","2008","Winter barley","000 Tonnes","181.8"
"Crop Production","2008","Spring barley","000 Tonnes","1112.4"
"Crop Production","2008","Beans and peas","000 Tonnes","11.1"
"Crop Production","2008","Oilseed rape","000 Tonnes","20.3"
"Crop Production","2008","Potatoes","000 Tonnes","344.9"
"Crop Production","2009","Total wheat, oats and barley","000 Tonnes","2063"
"Crop Production","2009","Total wheat","000 Tonnes","690.1"
"Crop Production","2009","Winter wheat","000 Tonnes","552.7"
"Crop Production","2009","Spring wheat","000 Tonnes","137.4"
"Crop Production","2009","Total oats","000 Tonnes","145.7"
"Crop Production","2009","Winter oats","000 Tonnes","71.3"
"Crop Production","2009","Spring oats","000 Tonnes","74.4"
"Crop Production","2009","Total barley","000 Tonnes","1227.3"
"Crop Production","2009","Winter barley","000 Tonnes","164.2"
"Crop Production","2009","Spring barley","000 Tonnes","1063.1"
"Crop Production","2009","Beans and peas","000 Tonnes","22.2"
"Crop Production","2009","Oilseed rape","000 Tonnes","23.7"
"Crop Production","2009","Potatoes","000 Tonnes","336.1"
"Crop Production","2010","Total wheat, oats and barley","000 Tonnes","2040.3"
"Crop Production","2010","Total wheat","000 Tonnes","669.2"
"Crop Production","2010","Winter wheat","000 Tonnes","532"
"Crop Production","2010","Spring wheat","000 Tonnes","137.2"
"Crop Production","2010","Total oats","000 Tonnes","148.1"
"Crop Production","2010","Winter oats","000 Tonnes","80.5"
"Crop Production","2010","Spring oats","000 Tonnes","67.6"
"Crop Production","2010","Total barley","000 Tonnes","1223.1"
"Crop Production","2010","Winter barley","000 Tonnes","245.1"
"Crop Production","2010","Spring barley","000 Tonnes","977.9"
"Crop Production","2010","Beans and peas","000 Tonnes","25"
"Crop Production","2010","Oilseed rape","000 Tonnes","28.1"
"Crop Production","2010","Potatoes","000 Tonnes","419.6"
"Crop Production","2011","Total wheat, oats and barley","000 Tonnes","2509.4"
