"Statistic Label","Month","Domestic or Import Source","UNIT","VALUE"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 January","Domestic","Million Litres","55.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 February","Domestic","Million Litres","84.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 March","Domestic","Million Litres","193.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 April","Domestic","Million Litres","327.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 May","Domestic","Million Litres","493.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 June","Domestic","Million Litres","494.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 July","Domestic","Million Litres","445.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 August","Domestic","Million Litres","411.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 September","Domestic","Million Litres","310.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 October","Domestic","Million Litres","216.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 November","Domestic","Million Litres","110.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1975 December","Domestic","Million Litres","68.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 January","Domestic","Million Litres","65.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 February","Domestic","Million Litres","102.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 March","Domestic","Million Litres","222.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 April","Domestic","Million Litres","388.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 May","Domestic","Million Litres","550.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 June","Domestic","Million Litres","541.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 July","Domestic","Million Litres","496.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 August","Domestic","Million Litres","433.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 September","Domestic","Million Litres","307.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 October","Domestic","Million Litres","213.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 November","Domestic","Million Litres","114.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1976 December","Domestic","Million Litres","67.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 January","Domestic","Million Litres","66.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 February","Domestic","Million Litres","113.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 March","Domestic","Million Litres","236.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 April","Domestic","Million Litres","399.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 May","Domestic","Million Litres","567.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 June","Domestic","Million Litres","581.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 July","Domestic","Million Litres","535.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 August","Domestic","Million Litres","458.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 September","Domestic","Million Litres","361.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 October","Domestic","Million Litres","273.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 November","Domestic","Million Litres","133.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1977 December","Domestic","Million Litres","81"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 January","Domestic","Million Litres","86.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 February","Domestic","Million Litres","139.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 March","Domestic","Million Litres","289.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 April","Domestic","Million Litres","459.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 May","Domestic","Million Litres","640.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 June","Domestic","Million Litres","637"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 July","Domestic","Million Litres","582.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 August","Domestic","Million Litres","516.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 September","Domestic","Million Litres","436.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 October","Domestic","Million Litres","320.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 November","Domestic","Million Litres","167.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1978 December","Domestic","Million Litres","89.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1979 January","Domestic","Million Litres","96.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1979 February","Domestic","Million Litres","168.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1979 March","Domestic","Million Litres","327.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1979 April","Domestic","Million Litres","462.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1979 May","Domestic","Million Litres","660.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1979 June","Domestic","Million Litres","659.7"
