Year,Month,Milk (Million Litres),Litres per cow,Rainfall
1975,January,"55,800,000",40.45,157.41
1975,February,"84,400,000",61.18,37.82
1975,March,"193,300,000",140.12,45.71
1975,April,"327,500,000",237.40,58.44
1975,May,"493,500,000",357.74,28.69
1975,June,"494,400,000",358.39,19.31
1975,July,"445,300,000",322.80,83.42
1975,August,"411,500,000",298.30,45.28
1975,September,"310,800,000",225.30,132.64
1975,October,"216,500,000",156.94,116.29
1975,November,"110,500,000",80.10,82.84
1975,December,"68,500,000",49.66,57.22
1976,January,"65,400,000",45.55,107.54
1976,February,"102,700,000",71.52,52.82
1976,March,"222,800,000",155.16,91.86
1976,April,"388,400,000",270.49,25.86
1976,May,"550,500,000",383.38,97.4
1976,June,"541,500,000",377.12,50.37
1976,July,"496,900,000",346.05,70.78
1976,August,"433,800,000",302.11,11.19
1976,September,"307,300,000",214.01,107.79
1976,October,"213,900,000",148.97,146.67
1976,November,"114,100,000",79.46,95.47
1976,December,"67,100,000",46.73,104.87
1977,January,"66,700,000",44.96,94.96
1977,February,"113,700,000",76.64,138.6
1977,March,"236,900,000",159.69,106.39
1977,April,"399,800,000",269.50,71.49
1977,May,"567,100,000",382.27,25.24
1977,June,"581,600,000",392.05,53.49
1977,July,"535,400,000",360.90,51.29
1977,August,"458,900,000",309.34,90.27
1977,September,"361,500,000",243.68,65.4
1977,October,"273,700,000",184.50,152.34
1977,November,"133,200,000",89.79,119.68
1977,December,"81,000,000",54.60,94.76
1978,January,"86,300,000",57.05,109.73
1978,February,"139,200,000",92.02,81.52
1978,March,"289,200,000",191.18,123.56
1978,April,"459,300,000",303.63,47.6
1978,May,"640,200,000",423.22,23.76
1978,June,"637,000,000",421.10,57.14
1978,July,"582,300,000",384.94,66.76
1978,August,"516,200,000",341.24,97.33
1978,September,"436,200,000",288.36,78.98
1978,October,"320,600,000",211.94,49.5
1978,November,"167,100,000",110.46,116.99
1978,December,"89,300,000",59.03,182.47
1979,January,"96,300,000",64.09,87.3
1979,February,"168,300,000",112.01,80.47
1979,March,"327,700,000",218.10,95.08
1979,April,"462,500,000",307.82,57.27
1979,May,"660,300,000",439.47,106.82
1979,June,"659,700,000",439.07,55.2
1979,July,"625,100,000",416.04,38.44
1979,August,"526,900,000",350.68,111.77
1979,September,"430,000,000",286.19,65.48
1979,October,"304,500,000",202.66,126.29
1979,November,"135,400,000",90.12,132.77
1979,December,"81,400,000",54.18,160.93
1980,January,"94,500,000",65.22,100.73
1980,February,"169,100,000",116.71,105.17
1980,March,"319,800,000",220.72,96.74
1980,April,"506,700,000",349.71,21.01
1980,May,"690,600,000",476.64,32.84
1980,June,"655,200,000",452.21,81.26
1980,July,"605,700,000",418.04,94.43
1980,August,"516,700,000",356.62,99.2
1980,September,"402,600,000",277.87,140
1980,October,"261,700,000",180.62,136.17
1980,November,"114,000,000",78.68,120.81
1980,December,"81,500,000",56.25,118.28
1981,January,"90,900,000",62.61,65.42
1981,February,"165,700,000",114.13,78.98
1981,March,"338,300,000",233.02,139.06
