Year,Month,Average Rainfall
1960,January,108.47
1960,February,79.21
1960,March,67.84
1960,April,69.96
1960,May,69.43
1960,June,82.17
1960,July,137.5
1960,August,89.39
1960,September,101.33
1960,October,91.03
1960,November,171.43
1960,December,147.39
1961,January,151.87
1961,February,93.33
1961,March,26.16
1961,April,107.21
1961,May,46.17
1961,June,53.31
1961,July,88.99
1961,August,79.09
1961,September,125.6
1961,October,118.69
1961,November,79.77
1961,December,87.74
1962,January,128.03
1962,February,46.37
1962,March,81.07
1962,April,63.26
1962,May,64.38
1962,June,52.44
1962,July,60.96
1962,August,109.73
1962,September,135.75
1962,October,43.69
1962,November,98.45
1962,December,99.11
1963,January,26.68
1963,February,56.14
1963,March,135.7
1963,April,72.75
1963,May,76.92
1963,June,50.65
1963,July,74.95
1963,August,93.82
1963,September,65.61
1963,October,122.9
1963,November,165.73
1963,December,52.62
1964,January,44.03
1964,February,56.83
1964,March,103.13
1964,April,68.84
1964,May,83.07
1964,June,88.1
1964,July,64.02
1964,August,103.28
1964,September,87.39
1964,October,107.17
1964,November,73.61
1964,December,146.07
1965,January,135.53
1965,February,9.07
1965,March,84.7
1965,April,77.32
1965,May,74.07
1965,June,102.17
1965,July,71.97
1965,August,86.13
1965,September,87.78
1965,October,61.24
1965,November,151.07
1965,December,141.57
1966,January,102.16
1966,February,145.71
1966,March,59.88
1966,April,129.76
1966,May,83.86
1966,June,102.93
1966,July,52.67
1966,August,73.14
1966,September,76.01
1966,October,126.1
1966,November,62.66
1966,December,128.38
1967,January,75.01
1967,February,108.79
1967,March,61.28
1967,April,37.37
1967,May,118.6
1967,June,32.03
1967,July,76.08
1967,August,94.33
1967,September,121.02
1967,October,167.19
1967,November,82.87
1967,December,72.61
1968,January,118.7
1968,February,43.32
1968,March,76.88
1968,April,66.22
1968,May,61.42
1968,June,63.86
1968,July,28.73
1968,August,81.97
1968,September,125.84
1968,October,120.4
1968,November,124.13
1968,December,133.71
1969,January,154.22
1969,February,62.06
1969,March,43.22
1969,April,62.74
1969,May,78.62
1969,June,68.52
1969,July,41.88
1969,August,53.43
1969,September,53.34
1969,October,58.13
1969,November,121.54
1969,December,104.52
1970,January,97.96
1970,February,118.9
1970,March,52.06
1970,April,90.68
1970,May,34.17
1970,June,56.62
1970,July,79.21
1970,August,65.29
1970,September,114.91
1970,October,93.4
1970,November,154.84
1970,December,59.29
1971,January,94.68
1971,February,59.51
1971,March,58.51
1971,April,45.52
1971,May,47.38
1971,June,78.1
1971,July,50.91
1971,August,92.92
1971,September,44.69
1971,October,87.26
1971,November,97.44
1971,December,48.49
1972,January,118.34
1972,February,91.46
1972,March,81.23
1972,April,79.19
1972,May,103.98
1972,June,63.4
1972,July,55.04
1972,August,51.04
1972,September,17.08
1972,October,61.19
1972,November,121.51
1972,December,128.73
1973,January,95.18
1973,February,74.31
1973,March,37.99
1973,April,45.54
1973,May,95.02
1973,June,33.99
1973,July,73.91
1973,August,105.83
1973,September,108.27
1973,October,63.02
1973,November,115.29
1973,December,104.49
1974,January,186.83
1974,February,98.09
1974,March,44.26
1974,April,34.21
1974,May,82.53
1974,June,42.26
1974,July,90.29
1974,August,95.6
1974,September,152.58
1974,October,52.09
1974,November,95.84
1974,December,87.12
1975,January,157.41
1975,February,37.82
1975,March,45.71
1975,April,58.44
1975,May,28.69
1975,June,19.31
1975,July,83.42
1975,August,45.28
1975,September,132.64
1975,October,116.29
1975,November,82.84
1975,December,57.22
1976,January,107.54
1976,February,52.82
1976,March,91.86
1976,April,25.86
1976,May,97.4
1976,June,50.37
1976,July,70.78
1976,August,11.19
1976,September,107.79
1976,October,146.67
1976,November,95.47
1976,December,104.87
1977,January,94.96
1977,February,138.6
1977,March,106.39
1977,April,71.49
1977,May,25.24
1977,June,53.49
1977,July,51.29
1977,August,90.27
1977,September,65.4
1977,October,152.34
1977,November,119.68
1977,December,94.76
1978,January,109.73
1978,February,81.52
1978,March,123.56
1978,April,47.6
1978,May,23.76
1978,June,57.14
1978,July,66.76
1978,August,97.33
1978,September,78.98
1978,October,49.5
1978,November,116.99
1978,December,182.47
1979,January,87.3
1979,February,80.47
1979,March,95.08
1979,April,57.27
1979,May,106.82
1979,June,55.2
1979,July,38.44
1979,August,111.77
1979,September,65.48
1979,October,126.29
1979,November,132.77
1979,December,160.93
1980,January,100.73
1980,February,105.17
1980,March,96.74
1980,April,21.01
1980,May,32.84
1980,June,81.26
1980,July,94.43
1980,August,99.2
1980,September,140.0
1980,October,136.17
1980,November,120.81
1980,December,118.28
1981,January,65.42
1981,February,78.98
1981,March,139.06
1981,April,35.58
1981,May,134.77
1981,June,77.79
1981,July,56.8
1981,August,35.09
1981,September,154.09
1981,October,111.51
1981,November,84.54
1981,December,102.48
1982,January,95.08
1982,February,104.53
1982,March,111.38
1982,April,26.43
1982,May,78.46
1982,June,111.49
1982,July,18.33
1982,August,100.33
1982,September,96.87
1982,October,145.39
1982,November,149.78
1982,December,132.73
1983,January,130.73
1983,February,52.27
1983,March,91.28
1983,April,69.4
1983,May,91.68
1983,June,51.19
1983,July,21.42
1983,August,52.69
1983,September,120.83
1983,October,128.87
1983,November,47.33
1983,December,143.6
1984,January,171.87
1984,February,80.66
1984,March,50.93
1984,April,45.29
1984,May,32.11
1984,June,47.77
1984,July,42.9
1984,August,74.94
1984,September,94.47
1984,October,121.52
1984,November,151.3
1984,December,114.36
1985,January,72.43
1985,February,53.83
1985,March,100.12
1985,April,63.24
1985,May,96.53
1985,June,76.31
1985,July,89.86
1985,August,191.72
1985,September,113.81
1985,October,56.46
1985,November,75.28
1985,December,123.0
1986,January,128.61
1986,February,8.38
1986,March,120.23
1986,April,65.87
1986,May,121.53
1986,June,80.88
1986,July,71.26
1986,August,154.03
1986,September,10.96
1986,October,101.02
1986,November,139.99
1986,December,174.27
1987,January,46.11
1987,February,71.59
1987,March,93.53
1987,April,64.77
1987,May,26.56
1987,June,103.72
1987,July,58.39
1987,August,77.96
1987,September,115.17
1987,October,138.18
1987,November,72.72
1987,December,93.34
1988,January,180.86
1988,February,87.24
1988,March,113.37
1988,April,38.53
1988,May,85.78
1988,June,44.44
1988,July,124.84
1988,August,114.14
1988,September,79.63
1988,October,135.49
1988,November,52.44
1988,December,72.39
1989,January,95.12
1989,February,106.36
1989,March,127.62
1989,April,73.67
1989,May,23.51
1989,June,65.76
1989,July,21.89
1989,August,113.7
1989,September,57.68
1989,October,156.27
1989,November,58.38
1989,December,100.18
1990,January,147.68
1990,February,192.61
